username,tweet_text,timestamp,label
pan_user_000,Meeting recap: aligning timeline and deliverables with team,2024-01-01T00:00:00+00:00,human
pan_user_000,Trying a new approach to clean noisy text data,2024-01-01T01:00:00+00:00,human
pan_user_000,Posting a quick update before I log off,2024-01-01T02:00:00+00:00,human
pan_user_000,Trying a new approach to clean noisy text data,2024-01-01T03:00:00+00:00,human
pan_user_000,Meeting recap: aligning timeline and deliverables with team,2024-01-01T16:00:00+00:00,human
pan_user_000,Had coffee and reviewed project notes for today,2024-01-01T05:00:00+00:00,human
pan_user_000,Meeting recap: aligning timeline and deliverables with team,2024-01-01T12:00:00+00:00,human
pan_user_000,Had coffee and reviewed project notes for today,2024-01-01T21:00:00+00:00,human
pan_user_000,Had coffee and reviewed project notes for today,2024-01-02T08:00:00+00:00,human
pan_user_001,Posting a quick update before I log off check this now http://example.com @someone !!!,2024-01-01T03:00:00+00:00,deceptive_human
pan_user_001,Posting a quick update before I log off,2024-01-01T07:00:00+00:00,deceptive_human
pan_user_001,Had coffee and reviewed project notes for today,2024-01-01T09:00:00+00:00,deceptive_human
pan_user_001,Meeting recap: aligning timeline and deliverables with team check this now http://example.com @someone !!!,2024-01-01T15:00:00+00:00,deceptive_human
pan_user_001,Posting a quick update before I log off,2024-01-01T15:00:00+00:00,deceptive_human
pan_user_001,Meeting recap: aligning timeline and deliverables with team,2024-01-01T18:00:00+00:00,deceptive_human
pan_user_001,Had coffee and reviewed project notes for today check this now http://example.com @someone !!!,2024-01-02T03:00:00+00:00,deceptive_human
pan_user_001,Posting a quick update before I log off,2024-01-02T00:00:00+00:00,deceptive_human
pan_user_001,Trying a new approach to clean noisy text data,2024-01-02T11:00:00+00:00,deceptive_human
pan_user_002,"repeating pattern detected, adjusting generation weights",2024-01-01T06:00:00+00:00,ai
pan_user_002,automated content stream calibration in progress,2024-01-01T07:00:00+00:00,ai
pan_user_002,system update: optimize pipeline throughput and consistency,2024-01-01T08:00:00+00:00,ai
pan_user_002,batch publish executed successfully across channels,2024-01-01T15:00:00+00:00,ai
pan_user_002,system update: optimize pipeline throughput and consistency,2024-01-01T14:00:00+00:00,ai
pan_user_002,batch publish executed successfully across channels,2024-01-02T02:00:00+00:00,ai
pan_user_002,automated content stream calibration in progress,2024-01-02T06:00:00+00:00,ai
pan_user_002,"repeating pattern detected, adjusting generation weights",2024-01-02T10:00:00+00:00,ai
pan_user_002,batch publish executed successfully across channels,2024-01-01T14:00:00+00:00,ai
pan_user_003,automated content stream calibration in progress check this now http://example.com @someone !!!,2024-01-01T09:00:00+00:00,fake
pan_user_003,batch publish executed successfully across channels,2024-01-01T10:00:00+00:00,fake
pan_user_003,automated content stream calibration in progress,2024-01-01T13:00:00+00:00,fake
pan_user_003,automated content stream calibration in progress check this now http://example.com @someone !!!,2024-01-01T15:00:00+00:00,fake
pan_user_003,system update: optimize pipeline throughput and consistency,2024-01-01T17:00:00+00:00,fake
